1,1,Σταθερή & Κινητή τηλεφωνία,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,2,Ηλεκτρονικοί Υπολογιστές & Αξεσουάρ/Περιφερειακά,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,3,Εικόνα,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,4,Ήχος,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,5,Gaming,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,6,Wearables,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,7,Φωτογραφία & Βίντεο,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,8,Ηλεκτρονικά,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,9,Tablets & Αξεσουάρ,Ηλεκτρονικά είδη,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,10,Οικιακές Συσκευές,Τα πάντα για το σπίτι,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,11,Εργαλεία,Τα πάντα για το σπίτι,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,12,Έπιπλα,Τα πάντα για το σπίτι,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
1,13,Κήπος,Τα πάντα για το σπίτι,Άρρεν,22,10,Ναι,Γάμος(δεν κολλάει συνήθως σε μαγάζια που έχουν σχεδόν όλες τις υπόλοιπες καρτέλες),Κανονική,,
